ObsID,National_Station_Identifier,StationName,Provider ID,Country code,StationLon,StationLat,Height,DrainingArea.km2.Provider,River,Catchment,EC_Catchments,Calibration ID,DrainingArea.km2.LDD,LisfloodX,LisfloodY,RealTime,PostProcess,FixedRepPoint,LSFCalib,HasWL,HasD,Alive,HasRTWL,HasRTD,HasHWL,HasHD,Exclude,EC_calib,CAL_TYPE,ModelFile,MdlStep,version__origin__name,version__version,station_id,drainage_area,lon_provided,lat_provided,drainage_area_provided,to_calibrate,valid_for_origin,legend,comments
80,562135,Colditz,1007,DE,12.8064666,51.12135467,139.17,2326,Zwickauer Mulde,Elbe,Elbe,-,2324.3,12.80833,51.125,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_80.pickle,6,EFAS,17,80,,,,,,,,
81,576631,Kleindalzig,1007,DE,12.29158291,51.21041419,119.55,2891,White Elster,Elbe,Elbe,-,2929.7,12.29167,51.20833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_81.pickle,6,EFAS,17,81,,,,,,,,
82,560021,Golzern 1,1007,DE,12.77739832,51.25300424,117.7,5442,United Mulde,Elbe,Elbe,C165,5436.6,12.775,51.25833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_82.pickle,6,EFAS,17,82,,,,,,,,
83,560051,Bad Dueben 1,1007,DE,12.58071472,51.59077864,81.5,6171,United Mulde,Elbe,Elbe,C353,6178.3,12.575,51.59167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_83.pickle,6,EFAS,17,83,,,,,,,,
84,576900,Oberthau,1007,DE,12.1472313,51.38440545,87.27,4939,White Elster,Elbe,Elbe,-,4995.5,12.15833,51.375,FALSE,FALSE,TRUE,FALSE,0,0,0,1,1,1,1,0,0,,ID_84.pickle,6,EFAS,17,84,,,,,,,,
85,577571,Boehlen 1,1007,DE,12.38721782,51.21191658,120.9,1359,Pleisse,Elbe,Elbe,-,1261.7,12.39167,51.20833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_85.pickle,6,EFAS,17,85,,,,,,,,
86,553020,Neuwiese,1007,DE,14.19703258,51.47645819,109.72,669,Blacl Elster,Elbe,Elbe,-,696.4,14.19167,51.475,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_86.pickle,6,EFAS,17,86,,,,,,,,
87,501010,Schoena,1007,DE,14.23523282,50.87579089,116.21,51391,Elbe,Elbe,Elbe,-,51357.5,14.24167,50.875,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_87.pickle,6,EFAS,17,87,,,,,,,,
88,501040,Pirna,1007,DE,13.93300415,50.96449989,108.06,52080,Elbe,Elbe,Elbe,-,52059.1,13.94167,50.95833,FALSE,FALSE,TRUE,FALSE,1,0,1,1,1,1,1,0,0,,,,EFAS,17,88,,,,,,,,
89,501060,Dresden,1007,DE,13.73883052,51.05448101,102.73,53096,Elbe,Elbe,Elbe,C155,53066.8,13.74167,51.05833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_89.pickle,6,EFAS,17,89,,,,,,,,
90,501080,Meissen,1007,DE,13.47461141,51.16446318,94.84,53885,Elbe,Elbe,Elbe,-,53863.2,13.475,51.15833,FALSE,FALSE,TRUE,FALSE,1,0,1,1,1,1,1,0,0,,,,EFAS,17,90,,,,,,,,
91,660193,Podrosche 3,1007,DE,14.94665631,51.4718696,120.6,2173,Lusatian Neisse,Oder,Oder,-,2069.4,14.94167,51.475,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_91.pickle,6,EFAS,17,91,,,,,,,,
92,582080,Sprey,1007,DE,14.5224068,51.43048871,114.11,1596,Spree,Elbe,Elbe,-,1589.5,14.525,51.425,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_92.pickle,6,EFAS,17,92,,,,,,,,
93,582820,Spreewitz,1007,DE,14.40428573,51.51086096,99.03,2033,Spree,Elbe,Elbe,-,2099,14.40833,51.50833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_93.pickle,6,EFAS,17,93,,,,,,,,
94,660160,Goerlitz,1007,DE,14.99318876,51.16119528,175.63,1621,Lusatian Neisse,Oder,Oder,-,1633.8,14.99167,51.15833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_94.pickle,6,EFAS,17,94,,,,,,,,
